,0,1
0,& Juliet - Martin/West Read,theater_fandoms
1,10 Ways to Survive Life in a Quarantine - Zolidis,theater_fandoms
2,10 Ways to Survive the Zombie Apocalypse - Zolidis,theater_fandoms
3,100 - The Imaginary Body - Heimann & Monaghan & Petterle,theater_fandoms
4,12 Angry Jurors - Sergel,theater_fandoms
5,13 - Brown/Elish/Horn,theater_fandoms
6,1776 - Edwards/Stone,theater_fandoms
7,1789 - バスティーユの恋人たち | 1789: Les Amants de la Bastille - Takarazuka Revue,theater_fandoms
8,1789: Les Amants de la Bastille - Various Composers/Attia & Chouquet,theater_fandoms
9,2:22 A Ghost Story - Robins,theater_fandoms
10,21 Chump Street - Miranda,theater_fandoms
11,The 25th Annual Putnam County Spelling Bee - Finn/Sheinkin/Reiss,theater_fandoms
12,Les 3 Mousquetaires - Castelli/Florence & Guirao/Cyr & Champagne,theater_fandoms
13,3 Musketiers - Bolland/Bolland,theater_fandoms
14,35mm: A Musical Exhibition - Oliver & Murphy,theater_fandoms
15,The 39 Steps - Barlow,theater_fandoms
16,The 39 Steps: A Live Radio Play - Landry,theater_fandoms
17,4.48 Psychosis - Kane,theater_fandoms
18,'40-'45 - Tura & Willaert/Blom/Van Laecke & Blom,theater_fandoms
19,7 Divines ASMR Series - Siren's Son ASMR,theater_fandoms
20,9 to 5 the Musical - Parton/Resnick,theater_fandoms
21,천사에 관하여 - 이아람/이희준 | About Angels - Lee Aram/Lee Hee-joon,theater_fandoms
22,Abraham Lincoln's Big Gay Dance Party - Loeb,theater_fandoms
23,Abused Demi Human Milo Series - MundaneFable,theater_fandoms
24,Actress Series - Foster Audios,theater_fandoms
25,Adam et Ève la Seconde Chance - Obispo/Duprez,theater_fandoms
26,Adamandi - Valentine Lee/Valentine Lee & Hornyak,theater_fandoms
27,The Adams Arc - Shapera,theater_fandoms
28,The Addams Family - Lippa/Brickman & Elice,theater_fandoms
29,Afram Latibær! | Go LazyTown! - Scheving (Plays),theater_fandoms
30,Against The World - Escaped Audios,theater_fandoms
31,Against Woman & Music! - McLean/Douglas,theater_fandoms
32,ᐊᒡᓗ | Aglu | The Breathing Hole - Murphy,theater_fandoms
33,Aida - John/Rice/Woolverton & Falls & Hwang,theater_fandoms
34,Aida - Verdi/Ghislanzoni,theater_fandoms
35,Αίας - Σοφοκλής | Ajax - Sophocles,theater_fandoms
36,悪を以って愛と成す - 萩原 | Aku wo Motte Ai to Nasu - Hagiwara,theater_fandoms
37,Al Capone - Lalanne,theater_fandoms
38,Aladdin - Menken/Ashman,theater_fandoms
39,Aladdin Jr. - Menken/Ashman & Rice & Beguelin/Beguelin,theater_fandoms
40,Alegría - Cirque du Soleil,theater_fandoms
41,Alice - Wade,theater_fandoms
42,Alice by Heart - Sheik/Sater/Sater & Nelson,theater_fandoms
43,Alice's Adventures in Wonderland - Wheeldon,theater_fandoms
44,Alice's Lover - Takarazuka Revue,theater_fandoms
45,The Aliens - Baker,theater_fandoms
46,Всё о Золушке - Паулс/Быков и Плотов | All About Cinderella - Pauls/Bykov & Plotov,theater_fandoms
47,All About Eve - Mankiewicz,theater_fandoms
48,All for One - Takarazuka Revue,theater_fandoms
49,All My Sons - Miller,theater_fandoms
50,All Shook Up - Presley/DiPietro,theater_fandoms
51,All's Well That Ends Well - Shakespeare,theater_fandoms
52,Allegiance - Kuo/Acito/Thione,theater_fandoms
53,Altar Boyz - Adler/Walker/Del Aguila,theater_fandoms
54,Amadeus - Shaffer,theater_fandoms
55,Amaluna - Cirque du Soleil,theater_fandoms
56,Amélie - Messé/Tysen/Lucas,theater_fandoms
57,American Idiot - Green Day/Armstrong,theater_fandoms
58,An American in Paris - Gershwin/Lucas,theater_fandoms
59,L'amico Fritz - Mascagni/Suardon,theater_fandoms
60,Amongst Barbarians - Wall,theater_fandoms
61,The Amulet Series - Extrovert ED,theater_fandoms
62,Обыкновенное чудо — Гладков/Ким/Шварц | An Ordinary Miracle — Gladkov/Kim/Schwartz,theater_fandoms
63,Anastasia - Flaherty/Ahrens/McNally,theater_fandoms
64,Anastasia - Maurette,theater_fandoms
65,והסושי חינם | And the Sushi's Free - ACMusical,theater_fandoms
66,And Then There Were None - Christie (Play 1943),theater_fandoms
67,अंधा युग - भारती | Andha Yug - Bharati,theater_fandoms
68,Andrea Chénier - Giordano/Illica,theater_fandoms
69,Androcles and the Lion - Shaw,theater_fandoms
70,Andromaque - Racine,theater_fandoms
71,Angels in America - Kushner,theater_fandoms
72,Ani: A Parody - Team StarKid,theater_fandoms
73,Anna Karenina - Takarazuka Revue,theater_fandoms
74,Annie - Strouse/Charnin/Meehan,theater_fandoms
75,Annie Get Your Gun - Berlin/Fields,theater_fandoms
76,Another Country - Julian Mitchell,theater_fandoms
77,Another World - Takarazuka Revue,theater_fandoms
78,Antigone - Anouilh,theater_fandoms
79,Antony and Cleopatra - Shakespeare,theater_fandoms
80,Anything For You - Allen,theater_fandoms
81,Anything Goes - Porter,theater_fandoms
82,Apologia - Campbell,theater_fandoms
83,Arcadia - Stoppard,theater_fandoms
84,Ariadne auf Naxos - Strauss/Hofmannsthal,theater_fandoms
85,Ariane et Barbe-Bleue - Dukas/Maeterlinck,theater_fandoms
86,Aristos: the Musical - Muse Lee,theater_fandoms
87,Ark 5 - Asher,theater_fandoms
88,Arms and the Man - Shaw,theater_fandoms
89,Arranged Marriage Series - Desmond ASMR,theater_fandoms
90,Arsenic and Old Lace - Kesselring,theater_fandoms
91,Art - Reza,theater_fandoms
92,The Art of Pleasing Princes - Lee/Hornyak,theater_fandoms
93,Artaserse - Pietro Metastasio,theater_fandoms
94,Artus-Excalibur - Wildhorn/Lerner/Menchell,theater_fandoms
95,As You Like It - Shakespeare,theater_fandoms
96,Ascunion - Eisenberg,theater_fandoms
97,Ashwood Grove - Will o' the Wisp Audio,theater_fandoms
98,ASMR Celebrity Personal Assistant Series | Valley Girl Series - Goodnight Moon,theater_fandoms
99,ASMR Crown Prince Teaches You to Dance at Royal Ball - Jimち ASMR | JimChi ASMR,theater_fandoms
100,ASMR Male Spider Yandere - Dark and Twisted Whisper,theater_fandoms
101,ASMR Mean Popular Girl Gives You a Makeover - Goodnight Moon,theater_fandoms
102,ASMR Soviet Interrogation Cold War Spy Roleplay - Jimち ASMR | JimChi ASMR,theater_fandoms
103,Assassins - Sondheim/Weidman,theater_fandoms
104,刺秦 - 徒有琴 | Assassins - Tú Yǒuqín,theater_fandoms
105,Aterui - Takarazuka Revue,theater_fandoms
106,Atlantis - Spies/Høg & Svanekier,theater_fandoms
107,An Atompunk Opera: The New Albion Guide to Analogue Consciousness - Shapera,theater_fandoms
108,The Atrocity Series - Scythe Audio,theater_fandoms
109,Attila - Verdi/Solera,theater_fandoms
110,Auld England Series - Jimち ASMR | JimChi ASMR,theater_fandoms
111,Av. Larco: El Musical - Tondero Producciones,theater_fandoms
112,Avenue Jew - Lopez/Marx,theater_fandoms
113,Avenue Q - Lopez/Marx,theater_fandoms
114,Axel Series - Reverie Audios,theater_fandoms
115,瑠璃色の刻 | Azure Moment - Takarazuka Revue,theater_fandoms
116,Babblebrook Series - Goodnight Moon,theater_fandoms
117,Bacchae - Euripides,theater_fandoms
118,Back to Back - Asai,theater_fandoms
119,Back to the 80s - Various/Various/Gooding & Smith,theater_fandoms
120,Back to the Future: The Musical - Silvestri & Ballard/Gale & Zemeckis,theater_fandoms
121,Bad Auditions by Bad Actors - McWethy,theater_fandoms
122,Bad Cinderella - Lloyd Webber,theater_fandoms
123,Bad Queers: The Musical - Stump,theater_fandoms
124,BADDY - Takarazuka Revue,theater_fandoms
125,The Ballad of Lost Hollow - Shapera,theater_fandoms
126,Balladyna - Słowacki,theater_fandoms
127,Un Ballo in Maschera | A Masked Ball - Verdi/Somma,theater_fandoms
128,The Band's Visit - Yazbek/Moses,theater_fandoms
129,Bandstand - Oberacker/Oberacker & Taylor,theater_fandoms
130,蛮幽鬼 - 中島かずき | Banyuuki - Nakashima Kazuki,theater_fandoms
131,Bara no Fuuin | Seal of Roses - Takarazuka Revue,theater_fandoms
132,Il barbiere di Siviglia | The Barber of Seville - Rossini/Sterbini,theater_fandoms
133,bare: A Pop Opera - Hartmere/Intrabartolo,theater_fandoms
134,Barnum - Coleman/Stewart/Bramble,theater_fandoms
135,Bartender x Listener. A Spicy Late Night Out~? - Azeru Official,theater_fandoms
136,Baskerville: A Sherlock Holmes Mystery - Ludwig,theater_fandoms
137,Bastards VS Zombies! - Good Boy Audios,theater_fandoms
138,Bat Boy: The Musical - O'Keefe/Farley/Flemming,theater_fandoms
139,Bat Out Of Hell: The Musical - Steinman,theater_fandoms
140,La Bayadère,theater_fandoms
141,Be More Chill - Iconis/Tracz,theater_fandoms
142,Медведь - Чехов | The Bear - Chekhov,theater_fandoms
143,Beast of Charity - West Ferris Theatre Group,theater_fandoms
144,The Beatles LOVE - Cirque du Soleil,theater_fandoms
145,Beautiful: The Carole King Musical - King & Various/McGrath,theater_fandoms
146,Beauty and the Beast - Menken/Ashman & Rice/Woolverton,theater_fandoms
147,Becket - Anouilh,theater_fandoms
148,Becoming Nancy - Stiles/Drewe/Davis,theater_fandoms
149,Beetlejuice - Perfect/Brown & King,theater_fandoms
150,The Beggar's Opera - Pepusch/Gay,theater_fandoms
151,Beirut - Browne,theater_fandoms
152,The Belle's Stratagem - Cowley,theater_fandoms
153,Bells are Ringing - Styne/Comden & Green,theater_fandoms
154,Beloved King: A Queer Bible Musical - Sylvan,theater_fandoms
155,Ben and Imo - Ravenhill,theater_fandoms
156,Benedikt Búálfur - Þorvaldsson/Gylfadóttir/Guðlaugsson,theater_fandoms
157,Bent - Sherman,theater_fandoms
158,Der Besuch der alten Dame | The Visit - Dürrenmatt,theater_fandoms
159,Der Besuch der alten Dame | The Visit - Schneider & Reed/Hofer/Struppeck,theater_fandoms
160,Betrayal - Pinter,theater_fandoms
161,Betweenity - Price,theater_fandoms
162,The Big BOOM Theory - Gold Fever Follies,theater_fandoms
163,Billy Budd - Britten/Forster & Crozier,theater_fandoms
164,Billy Elliot: The Musical - Elton John/Hall,theater_fandoms
165,Birmingham Hippodrome Robin Hood Pantomine,theater_fandoms
166,The Birthday Party - Pinter,theater_fandoms
167,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,theater_fandoms
168,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Musicals),theater_fandoms
169,Bittersummer: A New Musical - Emerick & The Brother Brothers/Smith,theater_fandoms
170,BitterSweet Series - YuuriVoice,theater_fandoms
171,Black Coffee - Christie,theater_fandoms
172,Black Mary Poppins - 서윤미 | Seo Younmi,theater_fandoms
173,The Black Suits - Iconis,theater_fandoms
174,Black Watch - Gregory Burke,theater_fandoms
175,Blazing Guns at Roaring Gulch - Fendrich,theater_fandoms
176,Blithe Spirit - Coward,theater_fandoms
177,Blood Brothers - Russell,theater_fandoms
178,Bloody Bloody Andrew Jackson - Friedman/Timbers,theater_fandoms
179,Blue Infinity Series - Escaped Audios,theater_fandoms
180,La bohème - Puccini/Illica/Giacosa,theater_fandoms
181,The Bold the Young and the Murdered - Zolidis,theater_fandoms
182,Bonnie & Clyde - Wildhorn/Black/Menchell,theater_fandoms
183,The Book of Mormon - Parker/Stone/Lopez,theater_fandoms
184,Born With Teeth - Adams,theater_fandoms
185,Boss Series - YuuriVoice,theater_fandoms
186,The Boys in the Band - Crowley (Broadway 2018),theater_fandoms
187,The Brat Pack - For The Record,theater_fandoms
188,Brigadoon - Loewe/Lerner,theater_fandoms
189,Bright Lights Big City - Goodman,theater_fandoms
190,Bright Star - Brickell/Martin,theater_fandoms
191,Bring It On - Miranda & Kitt/Green & Miranda/Whitty,theater_fandoms
192,Broadway Whodunit: All Hallows' Eve - Feldman,theater_fandoms
193,Broadway Whodunit: Escape From Camp Eerie - Feldman,theater_fandoms
194,Broadway Whodunit: Murder at Montgomery Manor - Feldman,theater_fandoms
195,断桥 - 祁/田 | The Broken Bridge - Qí/Tián,theater_fandoms
196,Bromance: The Dudesical - Ewalt/Walker & Ewalt/Walker,theater_fandoms
197,A Bronx Tale - Menken/Slater/Palminteri,theater_fandoms
198,Brooklynite - Lerman/Lerman & Mayer,theater_fandoms
199,브라더스 까라마조프 - 이진욱/김경주 | The Brothers Karamazov - Lee Jin Wook/Kim Kyung Ju,theater_fandoms
200,カラマーゾフの兄弟 | The Brothers Karamazov - Takarazuka Revue,theater_fandoms
201,The Browning Version - Rattigan,theater_fandoms
202,Bull Man Series - Siren's Son ASMR,theater_fandoms
203,Buried Child - Shepherd,theater_fandoms
204,Burn This - Wilson,theater_fandoms
205,The Burnt City - Punchdrunk,theater_fandoms
206,The Burnt Part Boys - Miller/Tysen/Elder,theater_fandoms
207,梁山伯与祝英台 | Butterfly Lovers (Opera),theater_fandoms
208,Bye Bye Birdie - Stewart/Adams/Strouse,theater_fandoms
209,Cabaret - Kander/Ebb,theater_fandoms
210,La Cage aux Folles - Herman/Fierstein,theater_fandoms
211,The Caine Mutiny Court-Martial - Wouk,theater_fandoms
212,Calamity Jane - Fain/Webster/Hanmer & Park,theater_fandoms
213,Caligula - Camus,theater_fandoms
214,Camelot - Loewe/Lerner,theater_fandoms
215,Canaria - Takarazuka Revue,theater_fandoms
216,La Cantatrice chauve | The Bald Soprano - Ionesco,theater_fandoms
217,Le capitaliste - Cros,theater_fandoms
218,CAPTAIN NEMO - Takarazuka Revue,theater_fandoms
219,The Car Man - Bourne,theater_fandoms
220,The Caretaker - Pinter,theater_fandoms
221,Carmen - Bizet/Halévy & Meilhac,theater_fandoms
222,Carnival! - Merrill/Stewart,theater_fandoms
223,Carousel - Rodgers/Hammerstein,theater_fandoms
224,Carrie: The Musical - Gore/Pritchard/Cohen,theater_fandoms
225,La casa de Bernarda Alba | The House of Bernarda Alba - García Lorca,theater_fandoms
226,Casanova - Takarazuka Revue,theater_fandoms
227,The Castle - 김승진 & 허수현/김선미 | Kim Seungjin & and Heo Suhyun/Kim Sunmi,theater_fandoms
228,Cat on a Hot Tin Roof - Williams,theater_fandoms
229,Catch Me If You Can - Shaiman/Wittman/McNally,theater_fandoms
230,Cats - Andrew Lloyd Webber,theater_fandoms
231,Cavalleria rusticana - Mascagni/Targioni-Tozzetti & Menasci,theater_fandoms
232,La Cenerentola - Rossini/Ferretti,theater_fandoms
233,チェーザレ 破壊の創造者 - 島/荻田 | Cesare: Il Creatore che ha distrutto - Shima/Ogita,theater_fandoms
234,CHaCK-UP ~The Targeted Planet~ - 亀田 | Kameda,theater_fandoms
235,Chameleon the Musical - Nang/Will & Nang/Villegas & Will,theater_fandoms
236,Chaos Before Battle - McCourt,theater_fandoms
237,Charlie and the Chocolate Factory - Shaiman/Shaiman & Wittman/Greig,theater_fandoms
238,Чашка чорної кави - Василько | Chashka chornoy kavi - Vasylko,theater_fandoms
239,陈三两 | Chen Sanliang (Opera),theater_fandoms
240,Chess - Rice/Ulvaeus/Andersson,theater_fandoms
241,Chicago - Kander & Ebb & Fosse,theater_fandoms
242,Childhood Friend series - KV VA,theater_fandoms
243,Children of a Lesser God - Medoff,theater_fandoms
244,Children of Eden - Schwartz,theater_fandoms
245,The Children's Hour - Hellman,theater_fandoms
246,A Chorus Line - Hamlisch/Klebin/Kirkwood & Dante,theater_fandoms
247,Christmas Carol 2: Boxing Day - Pearse/Hudson,theater_fandoms
248,Chronus Seven Series - Escaped Audios,theater_fandoms
249,CIA Agent Puts You To Sleep ASMR Roleplay - Jimち ASMR | JimChi ASMR,theater_fandoms
250,Le Cid - Corneille,theater_fandoms
251,Cinderella - Nathan-Turner (Play 1982),theater_fandoms
252,Cinderella - Rodgers/Hammerstein/Beane,theater_fandoms
253,Cinderella's Castle - Team Starkid,theater_fandoms
254,Circle Mirror Transformation - Baker,theater_fandoms
255,The City Wolf and the Country Lamb Series - Nomads Tales & Audios,theater_fandoms
256,The Civil War - Wildhorn/Murphy/Boyd & Wildhorn,theater_fandoms
257,The CiviliTy of Albert Cashier - Stevens & Wooden/Deratany,theater_fandoms
258,Cleansed - Kane,theater_fandoms
259,La Clemenza di Tito | The Clemency of Titus - Mozart/Mazzolà/Metastasio,theater_fandoms
260,Clinton: The Musical - Hodge/Hodge & Hodge,theater_fandoms
261,The Clockmaker's Daughter - Webborn/Finn,theater_fandoms
262,Club SLAZY - Miura & Ise,theater_fandoms
263,Clue (High School Edition) - Lynn & Rustin,theater_fandoms
264,Clue | Cluedo - All Media Types,theater_fandoms
265,Clue The Musical - Blum & Barker & Martucci/Chiodo/DePietro,theater_fandoms
266,Clue: On Stage - Ruskin,theater_fandoms
267,Clue: The Musical,theater_fandoms
268,The Coast of Utopia - Stoppard,theater_fandoms
269,Cocky friend helps you with a Boy problem - YSF,theater_fandoms
270,CODE HERO - Takarazuka Revue,theater_fandoms
271,Code Purple: A Top Secret Musical - Purple Side,theater_fandoms
272,The Collection - Pinter,theater_fandoms
273,The Color Purple - Russell & Willis & Bray/Norman,theater_fandoms
274,Come From Away - Sankoff & Hein,theater_fandoms
275,The Comedy About a Bank Robbery - Lewis & Sayer & Shields,theater_fandoms
276,Comedy of Errors - Shakespeare,theater_fandoms
277,Commedia dell'arte - Anonymous,theater_fandoms
278,The Commitments - Various/Doyle (Play),theater_fandoms
279,Company - Sondheim/Furth,theater_fandoms
280,Compleat Female Stage Beauty - Harris,theater_fandoms
281,Concord Floral - Tannahill,theater_fandoms
282,A Connecticut Yankee in King Arthur's Court (Stage Play),theater_fandoms
283,Containment Breach Series - Dark and Twisted Whisper,theater_fandoms
284,Les Contes d'Hoffman - Offenbach/Barbier,theater_fandoms
285,The Convent of Pleasure - Cavendish,theater_fandoms
286,Copenhagen - Frayn,theater_fandoms
287,Coppélia - Delibes,theater_fandoms
288,Coriolanus - Shakespeare,theater_fandoms
289,Corteo - Cirque du Soleil,theater_fandoms
290,Così fan tutte - Mozart/Da Ponte,theater_fandoms
291,モンテ・クリスト伯 | The Count of Monte Cristo - Takarazuka Revue,theater_fandoms
292,The Count of Monte Cristo - Wildhorn/Murphy,theater_fandoms
293,Граф Орлов - Игнатьев/Ким | Count Orlov - Ignatiev/Kim,theater_fandoms
294,Crazy For You - Ludwig/Gershwin,theater_fandoms
295,Преступление и наказание - Артемьев/Ряшенцев | Crime and Punishment - Artemyev/Ryashentsev,theater_fandoms
296,Criminal Improv Series - Criminal Improv Comedy,theater_fandoms
297,The Crucible - Miller,theater_fandoms
298,Cryptid Conspiracy: The Lost Episode - University of Montevallo Purple Side,theater_fandoms
299,Die Csárdásfürstin | The Gypsy Princess - Kalman/Stein/Jenbach,theater_fandoms
300,Csínom Palkó - Farkas/Dékany/Lőrinczy,theater_fandoms
301,Cuba & His Teddy Bear - Povod,theater_fandoms
302,Cuddles with the Countess ASMR Roleplay - Dangerous ASMR,theater_fandoms
303,The Curious Savage - Patrick,theater_fandoms
304,Curtains - Kander/Ebb/Holmes,theater_fandoms
305,The Customer is Always Wrong - McWethy,theater_fandoms
306,Cute Boyfriend Series - ZSakuVA,theater_fandoms
307,Cyberpunk ASMR - EpicASMR,theater_fandoms
308,Cymbeline - Shakespeare,theater_fandoms
309,Cymbeline Refinished - Shaw,theater_fandoms
310,Cyrano de Bergerac - Edmond Rostand,theater_fandoms
311,Cyrano de Bergerac: In a Free Adaptation - Crimp,theater_fandoms
312,Damn Yankees - Adler/Ross/Abbott/Wallop,theater_fandoms
313,Les Damnés - Visconti & Badalucco & Medioli,theater_fandoms
314,Dance Nation - Barron,theater_fandoms
315,Dance Olympia - Takarazuka Revue,theater_fandoms
316,Dancing at Lughnasa - Friel,theater_fandoms
317,The Dangerous Brothers - Mayall & Edmondson,theater_fandoms
318,Dangerous Corner - Priestley,theater_fandoms
319,黒い瞳 | Dark Brown Eyes - Takarazuka Revue,theater_fandoms
320,The Dark Prince Series - Angels&Bread ASMR,theater_fandoms
321,다윈 영의 악의 기원 - 박천휘/이희준/이희준 & 박지리 | Darwin Young: Origin of Evil - Park C/Lee H/Lee H & Park Ji-Ri,theater_fandoms
322,Dastardly Deeds at Yoursin Mine - Fridell,theater_fandoms
323,Davis & McQuillan - Davis/McQuillan,theater_fandoms
324,ソルフェリーノの夜明け | The Dawn at Solferino - Takarazuka Revue,theater_fandoms
325,Дни Турбиных - Булгаков | The Day of the Turbins - Bulgakov,theater_fandoms
326,Dead Man's Party - Six Flags,theater_fandoms
327,The Deadly Hour - Eric,theater_fandoms
328,Dear England - Graham,theater_fandoms
329,Dear Evan Hansen - Pasek & Paul/Levenson,theater_fandoms
330,Dear World - Herman/Lawrence/Lee,theater_fandoms
331,Death by Chocolate - French,theater_fandoms
332,Death Note: The Musical - Wildhorn/Murphy,theater_fandoms
333,Death of a Salesman - Miller,theater_fandoms
334,Deathtrap - Levin,theater_fandoms
335,Deep Love - Hayes & Sherwood,theater_fandoms
336,Demon King Forces You To Submit Yourself To Him - HydroKingVA,theater_fandoms
337,더데빌 - 우디박 & 이지혜/이지나 | The Devil - Woody Park & Gihieh Lee/Gina Lee,theater_fandoms
338,The Devil Gets All The Best Tunes - Pearse/Ferguson,theater_fandoms
339,Di and Viv and Rose - Bullmore,theater_fandoms
340,Dial M for Murder - Knott,theater_fandoms
341,Dialogues des Carmélites | Dialogues of the Carmelites - Poulenc,theater_fandoms
342,The Dialogues of Leopold and Loeb - Walton,theater_fandoms
343,リッツ・ホテルくらいに大きなダイヤモンド | The Diamond as Big as the Ritz - Hasegawa & Teshima/Kimura/Fitzgerald,theater_fandoms
344,貂蝉 | Diao Chan (Opera),theater_fandoms
345,The Diaries of Netovicius the Vampire - Hugo Pierre Martin,theater_fandoms
346,The Diary of a Nobody - Pearse/Finnemore,theater_fandoms
347,The Diary of a Provincial Lady - Hudson/Pearse,theater_fandoms
348,Dido and Aeneas - Purcell/Tate,theater_fandoms
349,ディミトリ～曙光に散る紫の花～ | Dimitri ~Purple Flowers Scattering at Daybreak~ - Takarazuka Revue,theater_fandoms
350,Dinner At Eight Dead By Nine - Druce,theater_fandoms
351,Dirty Rotten Scoundrels - Yazbek/Lane,theater_fandoms
352,Disco Inferno - Various/Sepple,theater_fandoms
353,The Diviners - Jim Leonard Jr.,theater_fandoms
354,Les Dix Commandements - Obispo/Florence & Guirao,theater_fandoms
355,DNA - Kelly,theater_fandoms
356,嗜血博士 - 顾易/纪赢/沈旭飞 | Doctor - Gù Yì/Jì Yíng/Chén Xùfēi,theater_fandoms
357,Doctor Faustus - Christopher Marlowe,theater_fandoms
358,Doctor Who: Time Fracture (Stage Play),theater_fandoms
359,Doctor Zhivago - Simon/Korie & Powers/Weller,theater_fandoms
360,Dog Sees God: Confessions of a Teenage Blockhead - Royal,theater_fandoms
361,髑髏城の七人 | Dokuro-Jo no Shichinin | Seven Souls in Skull Castle,theater_fandoms
362,The Dolls of New Albion: A Steampunk Opera - Shapera,theater_fandoms
363,Dom Juan - Molière,theater_fandoms
364,Don Carlos | Don Carlo - Verdi/du Locle/Méry,theater_fandoms
365,Don Giovanni - Mozart/Da Ponte,theater_fandoms
366,Don Juan - Gray,theater_fandoms
367,Don Juan - Takarazuka Revue,theater_fandoms
368,Don Juan in Soho - Marber,theater_fandoms
369,Don Karlos: Infant von Spanien | Don Carlos - Friedrich Schiller,theater_fandoms
370,Don Pasquale - Donizetti/Ruffini,theater_fandoms
371,Don Quixote (Ballet),theater_fandoms
372,Don't Stop Me - Malloy/Knight,theater_fandoms
373,Dorian Gray - Bourne,theater_fandoms
